# Italy expansion photo credits (Wikimedia Commons, CC/PD licensed)
# public path | Commons file | license | author

highlights/alberobello-3.jpg | https://commons.wikimedia.org/wiki/File:Alberobello_-_Trulli_del_Rione_Aia_Piccola_-_02.jpg | CC BY-SA 4.0 | Benjamin Smith
highlights/alberobello-4.jpg | https://commons.wikimedia.org/wiki/File:Chiesa_a_Trullo._-_panoramio.jpg | CC BY-SA 3.0 | Carlo Pelagalli
highlights/alghero-1.jpg | https://commons.wikimedia.org/wiki/File:Bastioni_Alghero_2019.jpg | CC BY 4.0 | Photo2023
highlights/alghero-2.jpg | https://commons.wikimedia.org/wiki/File:Grotta_di_nettuno_sardinien.jpg | CC BY-SA 2.5 | Tobias Helfrich
highlights/alghero-3.jpg | https://commons.wikimedia.org/wiki/File:Alghero_-_Capo_Caccia_(07).JPG | CC BY-SA 3.0 | Gianni Careddu
highlights/alghero-4.jpg | https://commons.wikimedia.org/wiki/File:Alghero_jamaica_inn_(15485570142).jpg | CC BY 2.0 | Jose Hidalgo from Punta Arenas y South Lake Tahoe, Chile y California
highlights/alghero-5.jpg | https://commons.wikimedia.org/wiki/File:Alghero_-_Katedra.jpg | CC BY-SA 4.0 | Robert Ciekanowski
highlights/assisi-1.jpg | https://commons.wikimedia.org/wiki/File:Rear_NW_Basilica_Francesco_Assisi_Sep23_A7C_07913.jpg | CC BY-SA 4.0 | <a href="https://upload.wikimedia.org/wikipedia/commons/5/52/Rear_NW_Basilica_France
highlights/assisi-2.jpg | https://commons.wikimedia.org/wiki/File:Italy,_Assisi,_Basilica_of_Santa_Chiara_BW_2021-09-25_12-44-16.jpg | CC BY-SA 4.0 | Berthold Werner
highlights/assisi-3.jpg | https://commons.wikimedia.org/wiki/File:Assisi_Piazza_del_Comune_BW_5.JPG | Public domain | Berthold Werner
highlights/assisi-4.jpg | https://commons.wikimedia.org/wiki/File:Rocca_Maggiore_-_Assisi.jpg | CC BY-SA 4.0 | Stifone
highlights/bari-1.jpg | https://commons.wikimedia.org/wiki/File:Bari_-_basilica_di_San_Nicola_-_202109141230.jpg | CC BY-SA 4.0 | Michele0069
highlights/bari-2.jpg | https://commons.wikimedia.org/wiki/File:Bari_Vecchia_85401.jpg | CC BY-SA 4.0 | Luistxo
highlights/bari-3.jpg | https://commons.wikimedia.org/wiki/File:Le_orecchiette_di_Bari.jpg | CC BY-SA 4.0 | Maddy16869
